player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"Effross, Scott",10.2,1,6,3,11.8,5.9,0,0.471,0.398,0.343
"Pagán, Emilio",68.2,10,81,22,30,8.1,2,0.346,0.254,0.266
"Williams, Gavin",167.2,23,173,83,24.6,11.8,3,0.405,0.299,0.321
"Santana, Dennis",70.1,5,60,17,22.2,6.3,3,0.403,0.236,0.292
"Robertson, David",17.2,4,22,8,28.2,10.3,0,0.457,0.348,0.329
"Sheehan, Emmet",73.1,7,89,22,30.6,7.6,2,0.346,0.251,0.271
"Bruihl, Justin",13.2,2,18,7,27.7,10.8,1,0.365,0.376,0.298
"Burrows, Mike",96,13,97,31,24.1,7.7,5,0.425,0.305,0.322
"Skubal, Tarik",195.1,18,241,33,32.2,4.4,5,0.344,0.245,0.258
"Hill, Tim",67,8,37,16,13.8,5.9,0,0.383,0.274,0.288
"Cano, Yennier",58,7,53,24,21.1,9.6,3,0.351,0.342,0.299
"Borucki, Ryan",35,4,32,16,22.1,11,1,0.433,0.31,0.341
"Simpson, Josh",30.2,5,36,22,23.8,14.6,3,0.383,0.367,0.333
"Junis, Jakob",66.2,5,55,18,20.1,6.6,4,0.406,0.301,0.312
"Birdsong, Hayden",65.2,10,68,37,22.8,12.4,5,0.42,0.338,0.334
"Carrasco, Carlos",45.2,10,34,17,16,8,0,0.468,0.393,0.354
"Selby, Colin",14,2,14,2,23.3,3.3,0,0.432,0.315,0.292
"Graceffo, Gordon",43,2,40,13,20.7,6.7,2,0.427,0.34,0.325
"Tonkin, Michael",24,3,19,8,18.4,7.8,5,0.466,0.312,0.355
"Taillon, Jameson",129.2,24,98,27,18.9,5.2,0,0.424,0.297,0.305
"Anderson, Shaun",11.1,6,11,3,19.6,5.4,0,0.568,0.483,0.376
"Trevino, Jose",2.1,0,1,1,8.3,8.3,0,0.748,0.413,0.447
"Casparius, Ben",77.2,8,71,21,21.3,6.3,3,0.392,0.312,0.3
"Flexen, Chris",43.2,7,22,12,12.4,6.7,0,0.478,0.285,0.346
"Bivens, Spencer",81,6,61,25,17.8,7.3,5,0.394,0.322,0.313
"Montero, Rafael",60.1,5,58,37,22.9,14.6,0,0.327,0.283,0.295
"McDaniels, Garrett",10.2,2,6,8,12,16,1,0.425,0.415,0.371
"Johnson, Ryan",14.2,4,16,5,22.2,6.9,0,0.394,0.408,0.293
"Imanaga, Shota",144.2,31,117,26,20.6,4.6,1,0.469,0.293,0.313
"Ohtani, Shohei",47,3,62,8,33.2,4.3,0,0.322,0.249,0.249
"Abner, Philip",3.2,0,5,3,27.8,16.7,0,0.373,0.401,0.311
"Thomas, Connor",5.1,3,5,2,16.1,6.5,1,0.691,0.545,0.481
"Thornton, Trent",42.1,6,32,14,17.8,7.8,4,0.44,0.317,0.339
"Márquez, Germán",126.1,23,83,48,14,8.1,6,0.504,0.393,0.366
"Treinen, Blake",26.2,4,36,19,27.9,14.7,2,0.352,0.358,0.301
"Yesavage, Trey",14,0,16,7,25.8,11.3,0,0.369,0.275,0.314
"Lara, Andry",14.1,2,10,8,12.8,10.3,1,0.487,0.445,0.394
"Barco, Hunter",3,0,3,0,25,0,0,0.472,0.251,0.326
"Sands, Cole",72,7,64,19,21.4,6.4,4,0.403,0.296,0.306
"Anderson, Grant",69.2,8,74,29,24.7,9.7,2,0.36,0.287,0.3
"Castillo, José",32,4,30,14,20.1,9.4,4,0.372,0.367,0.315
"Newcomb, Sean",92.1,5,91,31,23.3,7.9,5,0.374,0.306,0.306
"Kremer, Dean",171.2,22,142,45,20.1,6.4,2,0.413,0.305,0.304
"Wicks, Jordan",14.1,2,13,1,19.4,1.5,0,0.413,0.4,0.31
"McGreevy, Michael",95.2,12,58,20,14.5,5,3,0.457,0.318,0.333
"Matzek, Tyler",6.1,0,7,5,20,14.3,0,0.456,0.418,0.352
"Hart, Kyle",43,9,37,13,20.7,7.3,2,0.402,0.32,0.299
"Loutos, Ryan",12,4,8,8,11.8,11.8,2,0.547,0.446,0.408
"Waddell, Brandon",31.1,4,22,11,16.4,8.2,1,0.486,0.32,0.36
"Koenig, Jared",66,6,68,20,25.4,7.5,4,0.324,0.294,0.263
"Matz, Steven",76.2,8,59,11,19.1,3.6,2,0.404,0.291,0.287
"Olson, Reese",68.2,5,65,25,22.8,8.8,5,0.391,0.287,0.313
"Nikhazy, Doug",4,0,5,6,21.7,26.1,0,0.523,0.435,0.43
"Harvey, Hunter",10.2,0,11,1,28.2,2.6,0,0.224,0.153,0.193
"Ryan, Joe",171,26,194,39,28.2,5.7,12,0.397,0.29,0.289
"Holton, Tyler",78.2,15,64,17,20.5,5.4,0,0.414,0.288,0.303
"King, Bryan",68,10,69,11,25.1,4,4,0.358,0.282,0.274
"Martinez, Seth",6.2,2,4,3,14.8,11.1,0,0.527,0.307,0.381
"Mazur, Adam",30,4,19,12,13.7,8.6,1,0.459,0.329,0.347
"Castaño, Blas",3,1,1,2,6.3,12.5,1,0.76,0.471,0.505
"Maton, Phil",61.1,3,81,24,32.5,9.6,7,0.282,0.266,0.264
"Peraza, Oswald",2.1,1,0,0,0,0,1,0.483,0.637,0.38
"Cruz, Steven",45.2,5,38,18,20.1,9.5,1,0.357,0.28,0.289
"Wilson, Will",2,1,0,0,0,0,0,0.964,0.411,0.591
"Megill, Trevor",47,3,60,17,31.3,8.9,0,0.364,0.259,0.281
"Alexander, Jason",77.1,15,65,26,19.3,7.7,3,0.444,0.341,0.339
"Patrick, Chad",119.2,13,127,40,25.2,8,4,0.395,0.307,0.306
